wikidata_id,name,category,image_url,country,wikipedia_url,sitelinks,latitude,longitude
Q205952,Hawaiʻi Volcanoes National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Lava-streaming-into-ocean.jpg,United States,https://en.wikipedia.org/wiki/Hawai%CA%BBi_Volcanoes_National_Park,108,19.40083,-155.12361
Q242681,Mammoth Cave National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Mammoth%20Cave%20Rotunda%20%28USGS%20Lwt02830%29.jpg,United States,https://en.wikipedia.org/wiki/Mammoth_Cave_National_Park,106,37.186944444,-86.101111111
Q222695,Grand Teton National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Barns%20grand%20tetons.jpg,United States,https://en.wikipedia.org/wiki/Grand_Teton_National_Park,104,43.833333333,-110.700833333
Q273195,Carlsbad Caverns National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Carlsbad%20Interior%20Formations.jpg,United States,https://en.wikipedia.org/wiki/Carlsbad_Caverns_National_Park,102,32.175277777,-104.443888888
Q464004,Great Smoky Mountains National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Great%20Smoky%20Mountains%20Cades%20Cove%20View.jpg,United States,https://en.wikipedia.org/wiki/Great_Smoky_Mountains_National_Park,102,35.611111111,-83.425
Q223969,Arches National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Delicate%20Arch%20-%20Arches%20National%20Park%20%2828744386992%29.jpg,United States,https://en.wikipedia.org/wiki/Arches_National_Park,102,38.728055555,-109.54
Q49108,Massachusetts Institute of Technology,universities,http://commons.wikimedia.org/wiki/Special:FilePath/MIT%20Dome%20night1%20Edit.jpg,United States,https://en.wikipedia.org/wiki/Massachusetts_Institute_of_Technology,448,42.359722222,-71.091944444
Q13371,Harvard University,universities,http://commons.wikimedia.org/wiki/Special:FilePath/Sanders%20theater%202009y.JPG,United States,https://en.wikipedia.org/wiki/Harvard_University,298,42.374443888,-71.116943888
Q49115,Cornell University,universities,http://commons.wikimedia.org/wiki/Special:FilePath/Cornell%20University%2C%20Ho%20Plaza%20and%20Sage%20Hall.jpg,United States,https://en.wikipedia.org/wiki/Cornell_University,291,42.449166666,-76.483888888
Q41506,Stanford University,universities,http://commons.wikimedia.org/wiki/Special:FilePath/Stanford%20Oval%20May%202011%20panorama.jpg,United States,https://en.wikipedia.org/wiki/Stanford_University,222,37.4275,-122.17
Q49112,Yale University,universities,http://commons.wikimedia.org/wiki/Special:FilePath/Yale%20Law%20School%20in%20the%20Sterling%20Law%20Building.jpg,United States,https://en.wikipedia.org/wiki/Yale_University,212,41.311111111,-72.926666666
Q21578,Princeton University,universities,http://commons.wikimedia.org/wiki/Special:FilePath/ClevelandTowerWatercolor20060829.jpg,United States,https://en.wikipedia.org/wiki/Princeton_University,198,40.345277777,-74.656111111
Q49088,Columbia University,universities,http://commons.wikimedia.org/wiki/Special:FilePath/Columbia%20University%20-%20Low%20Memorial%20Library%20%2848170370506%29.jpg,United States,https://en.wikipedia.org/wiki/Columbia_University,192,40.8075,-73.961944444
Q333886,Georgetown University,universities,http://commons.wikimedia.org/wiki/Special:FilePath/Healy%20Hall%20Georgetown%20University.jpg,United States,https://en.wikipedia.org/wiki/Georgetown_University,174,38.907222222,-77.072777777
Q168756,"University of California, Berkeley",universities,http://commons.wikimedia.org/wiki/Special:FilePath/Berkeley%20glade%20afternoon.jpg,United States,"https://en.wikipedia.org/wiki/University_of_California,_Berkeley",174,37.871944444,-122.258333333
Q131252,University of Chicago,universities,http://commons.wikimedia.org/wiki/Special:FilePath/Campus%20Spring.jpg,United States,https://en.wikipedia.org/wiki/University_of_Chicago,172,41.789722222,-87.599722222
Q125753,Holland Tunnel,space,http://commons.wikimedia.org/wiki/Special:FilePath/Holland%20tunnel.jpg,United States,https://en.wikipedia.org/wiki/Holland_Tunnel,31,40.7275,-74.021389
Q125805,Lincoln Tunnel,space,http://commons.wikimedia.org/wiki/Special:FilePath/Lincoln%20Manh%20portal%209-38%20jeh.JPG,United States,https://en.wikipedia.org/wiki/Lincoln_Tunnel,29,40.7625,-74.0111
Q1129573,Detroit–Windsor Tunnel,space,http://commons.wikimedia.org/wiki/Special:FilePath/DWTunnel.JPG,United States,https://en.wikipedia.org/wiki/Detroit%E2%80%93Windsor_Tunnel,18,42.324502777,-83.040052777
Q3318219,Moffat Tunnel,space,http://commons.wikimedia.org/wiki/Special:FilePath/Image%20Moffat%20west2a.jpg,United States,https://en.wikipedia.org/wiki/Moffat_Tunnel,18,39.9024,-105.646
Q125635,Brooklyn–Battery Tunnel,space,http://commons.wikimedia.org/wiki/Special:FilePath/Brookbattunmanjeh.JPG,United States,https://en.wikipedia.org/wiki/Brooklyn%E2%80%93Battery_Tunnel,16,40.695833,-74.013611
Q82059,Nasdaq,markets,http://commons.wikimedia.org/wiki/Special:FilePath/CreditRich%20Nasdaq%20Tower%20NYC.jpg,United States,https://en.wikipedia.org/wiki/Nasdaq,92,40.7565,-73.98576
Q13677,New York Stock Exchange,markets,http://commons.wikimedia.org/wiki/Special:FilePath/Nyse%202009g.JPG,United States,https://en.wikipedia.org/wiki/New_York_Stock_Exchange,88,40.706944444,-74.011111111
