wikidata_id,name,category,coordinates,image_url,country,wikipedia_url,sitelinks
Q855658,Chihuahuan Desert,deserts,Point(-103.837222222 30.540555555),http://commons.wikimedia.org/wiki/Special:FilePath/Chihuahuan%20Desert.jpg,United States,https://en.wikipedia.org/wiki/Chihuahuan_Desert,47
Q273446,Great Basin Desert,deserts,Point(-114.2197 39.0058),http://commons.wikimedia.org/wiki/Special:FilePath/Great%20Basin%20Desert%203%20by%20Earth%27s%20beauty%20site.jpg,United States,https://en.wikipedia.org/wiki/Great_Basin_Desert,38
Q34221,Niagara Falls,waterfalls,Point(-79.071 43.08),http://commons.wikimedia.org/wiki/Special:FilePath/Niagara%20Falls%20USA%20Canada%20from%20Skylon%20Tower%20on%202002-05-28%2C%20full%20size.jpg,United States,https://en.wikipedia.org/wiki/Niagara_Falls,268
Q491677,Yosemite Falls,waterfalls,Point(-119.597297 37.755018),http://commons.wikimedia.org/wiki/Special:FilePath/Yosemite%20falls%20winter%202010.JPG,United States,https://en.wikipedia.org/wiki/Yosemite_Falls,40
Q37319,Multnomah Falls,waterfalls,Point(-122.115361111 45.57595),http://commons.wikimedia.org/wiki/Special:FilePath/Multnomah%20Falls%20on%202%20August%202012.jpg,United States,https://en.wikipedia.org/wiki/Multnomah_Falls,24
Q37385,Horsetail Fall,waterfalls,Point(-119.628 37.7291),http://commons.wikimedia.org/wiki/Special:FilePath/2007-02-16%20-%20Horsetail%20Fall%20%28Yosemite%29.jpg,United States,https://en.wikipedia.org/wiki/Horsetail_Fall_(Yosemite),22
Q38305,Oloʻupena Falls,waterfalls,Point(-156.859444444 21.164722222),http://commons.wikimedia.org/wiki/Special:FilePath/Molokai%20Waterfall.jpg,United States,https://en.wikipedia.org/wiki/Olo%CA%BBupena_Falls,19
Q1373778,Horseshoe Falls,waterfalls,Point(-79.07562 43.077305),http://commons.wikimedia.org/wiki/Special:FilePath/Niagara%20Falls%206%20db.jpg,United States,https://en.wikipedia.org/wiki/Horseshoe_Falls,18
Q38402,Dry Falls,waterfalls,Point(-119.353644 47.605725),http://commons.wikimedia.org/wiki/Special:FilePath/Dry%20Falls.jpg,United States,https://en.wikipedia.org/wiki/Dry_Falls,18
Q37957,Alamere Falls,waterfalls,Point(-122.783333333 37.953611111),http://commons.wikimedia.org/wiki/Special:FilePath/AlamereFalls.JPG,United States,https://en.wikipedia.org/wiki/Alamere_Falls,18
Q1752963,Saint Anthony Falls,waterfalls,Point(-93.258611111 44.981666666),http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Anthony%20Falls%20aerial.jpg,United States,https://en.wikipedia.org/wiki/Saint_Anthony_Falls,17
Q38586,Nevada Fall,waterfalls,Point(-119.532777777 37.725277777),http://commons.wikimedia.org/wiki/Special:FilePath/Vernall%20Nevada%20Falls.JPG,United States,https://en.wikipedia.org/wiki/Nevada_Fall,17
Q617835,Malaspina Glacier,glaciers,Point(-140.533 59.9192),http://commons.wikimedia.org/wiki/Special:FilePath/Malaspina%20Glacier%20from%20space.jpg,United States,https://en.wikipedia.org/wiki/Malaspina_Glacier,32
Q610535,Nabesna Glacier,glaciers,Point(-143.090555555 61.933333333),http://commons.wikimedia.org/wiki/Special:FilePath/MtBlackburn-AtnaPeaks-ParkaPeak.jpg,United States,https://en.wikipedia.org/wiki/Nabesna_Glacier,26
Q833807,Columbia Glacier,glaciers,Point(-146.895 61.2197),http://commons.wikimedia.org/wiki/Special:FilePath/Columbia%20Glacier%20%28Alaska%29%20by%20Sentinel-2.jpg,United States,https://en.wikipedia.org/wiki/Columbia_Glacier_(Alaska),20
Q1529680,Muir Glacier,glaciers,Point(-136.4444768 59.2059482),http://commons.wikimedia.org/wiki/Special:FilePath/Morse%20Muir%20Glaciers%201994.jpg,United States,https://en.wikipedia.org/wiki/Muir_Glacier,18
Q1632936,Hubbard Glacier,glaciers,Point(-139.370833333 60.313888888),http://commons.wikimedia.org/wiki/Special:FilePath/Hubbard%20Glacier%20%285%29.jpg,United States,https://en.wikipedia.org/wiki/Hubbard_Glacier,17
Q351,Yellowstone National Park,national_parks,Point(-110.5 44.6),http://commons.wikimedia.org/wiki/Special:FilePath/Grand%20Prismatic%20Spring%202013.jpg,United States,https://en.wikipedia.org/wiki/Yellowstone_National_Park,230
